"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"11/11/2025";"0000";"23,4";"23,4";"23,2";"95,0";"96,0";"95,0";"22,6";"22,6";"22,4";"996,4";"996,4";"996,2";"0,7";"57,0";"2,2";"";"0,0"
"11/11/2025";"0100";"22,7";"23,5";"22,7";"100,0";"100,0";"95,0";"22,7";"22,9";"22,6";"996,2";"996,5";"996,2";"0,6";"33,0";"1,8";"";"0,0"
"11/11/2025";"0200";"22,1";"22,8";"22,0";"100,0";"100,0";"100,0";"22,1";"22,8";"22,0";"995,7";"996,2";"995,7";"0,3";"220,0";"1,3";"";"0,0"
"11/11/2025";"0300";"21,8";"22,2";"21,7";"100,0";"100,0";"100,0";"21,8";"22,2";"21,7";"995,1";"995,7";"995,1";"0,7";"238,0";"1,3";"";"0,0"
"11/11/2025";"0400";"21,7";"21,8";"21,6";"100,0";"100,0";"100,0";"21,7";"21,8";"21,6";"994,8";"995,1";"994,8";"0,9";"259,0";"1,4";"";"0,0"
"11/11/2025";"0500";"21,8";"22,0";"21,7";"100,0";"100,0";"100,0";"21,8";"22,0";"21,7";"994,5";"994,8";"994,5";"0,2";"271,0";"1,2";"";"0,0"
"11/11/2025";"0600";"21,8";"21,8";"21,6";"100,0";"100,0";"100,0";"21,8";"21,8";"21,6";"994,7";"994,8";"994,5";"0,7";"335,0";"1,4";"";"0,0"
"11/11/2025";"0700";"21,3";"21,8";"21,3";"";"100,0";"85,0";"";"";"";"994,9";"994,9";"994,7";"0,7";"297,0";"1,3";"";"0,0"
"11/11/2025";"0800";"21,2";"21,5";"21,1";"";"";"";"";"";"";"995,3";"995,3";"994,9";"0,6";"271,0";"1,7";"1,30";"0,0"
"11/11/2025";"0900";"22,5";"22,6";"21,0";"";"";"";"";"";"";"996,0";"996,0";"995,3";"0,4";"260,0";"1,9";"259,40";"0,0"
"11/11/2025";"1000";"25,3";"25,7";"22,5";"93,0";"";"";"24,1";"";"";"996,5";"996,5";"996,0";"0,9";"229,0";"2,5";"896,30";"0,0"
"11/11/2025";"1100";"26,7";"28,3";"25,3";"70,0";"94,0";"67,0";"20,8";"24,2";"20,8";"996,8";"996,8";"996,5";"3,4";"118,0";"6,4";"1848,60";"0,0"
"11/11/2025";"1200";"29,9";"35,0";"26,7";"51,0";"73,0";"51,0";"18,7";"25,3";"18,7";"996,7";"996,8";"996,6";"3,0";"103,0";"8,8";"2216,90";"0,0"
"11/11/2025";"1300";"32,5";"32,5";"28,3";"49,0";"59,0";"48,0";"20,5";"20,7";"18,4";"996,3";"996,7";"996,3";"3,1";"124,0";"8,0";"2450,60";"0,0"
"11/11/2025";"1400";"31,5";"32,7";"29,5";"44,0";"51,0";"42,0";"18,0";"19,9";"16,6";"995,7";"996,3";"995,7";"3,5";"121,0";"7,8";"2755,90";"0,0"
"11/11/2025";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
