"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"11/11/2025";"0000";"19,5";"20,3";"19,5";"87,0";"87,0";"85,0";"17,3";"17,9";"17,3";"924,0";"924,0";"923,7";"4,0";"85,0";"8,9";"";""
"11/11/2025";"0100";"19,2";"19,5";"19,2";"88,0";"88,0";"87,0";"17,1";"17,3";"17,1";"923,8";"924,0";"923,8";"4,3";"79,0";"8,4";"";""
"11/11/2025";"0200";"19,0";"19,2";"19,0";"88,0";"88,0";"87,0";"17,0";"17,2";"17,0";"923,5";"923,8";"923,5";"4,2";"76,0";"8,6";"";""
"11/11/2025";"0300";"18,7";"19,0";"18,7";"90,0";"90,0";"88,0";"17,0";"17,2";"16,9";"922,9";"923,5";"922,9";"4,0";"74,0";"7,4";"";""
"11/11/2025";"0400";"18,9";"19,0";"18,7";"88,0";"90,0";"88,0";"16,9";"17,2";"16,8";"922,5";"922,9";"922,5";"4,3";"90,0";"7,7";"";""
"11/11/2025";"0500";"18,6";"19,0";"18,5";"90,0";"90,0";"88,0";"16,9";"17,0";"16,6";"922,3";"922,5";"922,3";"1,9";"107,0";"7,3";"";""
"11/11/2025";"0600";"18,5";"18,7";"18,5";"93,0";"93,0";"90,0";"17,3";"17,3";"16,9";"922,3";"922,4";"922,2";"1,0";"110,0";"4,9";"";""
"11/11/2025";"0700";"18,0";"18,5";"18,0";"95,0";"95,0";"93,0";"17,1";"17,3";"17,1";"922,8";"922,8";"922,3";"0,5";"176,0";"2,3";"";""
"11/11/2025";"0800";"17,9";"18,0";"17,6";"97,0";"97,0";"95,0";"17,4";"17,4";"17,0";"923,1";"923,1";"922,7";"2,2";"97,0";"3,9";"";""
"11/11/2025";"0900";"18,9";"18,9";"17,8";"94,0";"97,0";"93,0";"17,8";"18,0";"17,3";"923,7";"923,7";"923,1";"2,2";"98,0";"4,7";"169,50";""
"11/11/2025";"1000";"21,0";"21,4";"18,9";"77,0";"94,0";"77,0";"16,8";"18,2";"16,8";"924,2";"924,2";"923,7";"2,7";"104,0";"6,9";"1067,60";""
"11/11/2025";"1100";"23,3";"24,0";"20,6";"63,0";"79,0";"62,0";"15,9";"17,3";"15,6";"924,4";"924,4";"924,2";"4,7";"86,0";"8,1";"1835,30";""
"11/11/2025";"1200";"24,4";"24,7";"22,6";"65,0";"66,0";"58,0";"17,3";"17,5";"15,3";"924,5";"924,5";"924,4";"2,9";"111,0";"8,1";"2377,70";""
"11/11/2025";"1300";"25,5";"25,8";"22,8";"59,0";"72,0";"59,0";"16,9";"18,9";"16,6";"924,4";"924,6";"924,3";"2,6";"101,0";"5,9";"2325,80";""
"11/11/2025";"1400";"24,7";"26,4";"24,6";"59,0";"63,0";"55,0";"16,1";"17,7";"15,8";"923,6";"924,4";"923,6";"3,6";"104,0";"8,4";"3266,10";""
"11/11/2025";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
